1.4574,0.1452
1.4505,0.14463
1.4584,0.14332
1.4505,0.1452
1.4505,0.1452
1.4389,0.14477
1.4389,0.14549
1.4389,0.147
1.4389,0.14875
1.4389,0.14875
1.4389,0.14875
1.4389,0.14875
1.4078,0.14875
1.458,0.14875
1.4597,0.14727
1.4444,0.14875
1.4427,0.14831
1.427,0.14875
1.4262,0.15343
1.4459,0.16244
1.4409,0.15904
1.4389,0.1452
1.4428,0.1452
1.4586,0.1452
1.4432,0.1452
1.4389,0.1452
1.4596,0.1452
1.9117,0.34227
1.7631,0.34227
1.776,0.34098
1.9031,0.33922
1.7941,0.34054
1.7871,0.33863
1.8241,0.34022
1.9145,0.34044
1.9457,0.34227
1.929,0.34227
1.8545,0.34227
2.0494,0.20874
1.9992,0.21195
2.3465,0.21234
2.2566,0.2121
2.2818,0.21126
1.8837,0.20913
1.8656,0.22089
2.3123,0.21184
2.3742,0.21747
2.3111,0.21299
2.1042,0.20954
2.2313,0.20938
